Noise Level,A_fit,k_fit,Reduced Chi2
1,4.714813878507004,0.9183078513751358,1.017713190201438
2,5.06388869738439,0.7303962611566385,0.7906732087457313
3,5.6093960072277556,0.8703719511733142,0.9354437855976477
4,5.7387267381529385,0.7259648869040801,1.110275352296727
5,4.943458473860519,0.6950119288003864,1.1358960311156432
